,country,ISO,firstcase,firstdeath,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,tests_units,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k,freepress,Region,democracy_cat,democracy,stringencyindex,daystomoststingent,C8_International_travel_controls_4,C8_International_travel_controls_3,C8_International_travel_controls_2,C8_International_travel_controls_1,C7_Restrictions_on_internal_movement_2,C7_Restrictions_on_internal_movement_1,C6_Stay_at_home_requirements_3,C6_Stay_at_home_requirements_2,C6_Stay_at_home_requirements_1,C5_Close_public_transport_2,C5_Close_public_transport_1,C4_Restrictions_on_gatherings_4,C4_Restrictions_on_gatherings_3,C4_Restrictions_on_gatherings_2,C4_Restrictions_on_gatherings_1,C3_Cancel_public_events_2,C3_Cancel_public_events_1,C2_Workplace_closing_3,C2_Workplace_closing_2,C2_Workplace_closing_1,C1_School_closing_3,C1_School_closing_2,C1_School_closing_1
101,Nicaragua,NIC,2020-03-19,2020-03-28,25.0,0.0,8.0,0.0,4.0,0.0,1.0,0.0,,,,,,6624554.0,51.667,27.3,5.445,3.5189999999999997,5321.444,3.2,137.016,11.47,,,,0.9,35.81,Americas,NF,31.0,16.67,27.0,,,27.0,-27.0,,,,,,,,,,,,,,,,,,,
102,Netherlands,NLD,2020-02-28,2020-03-07,43681.0,200.0,5643.0,53.0,2549.0,11.672,329.0,3.093,,,,,,17134873.0,508.54400000000004,43.2,18.779,11.880999999999998,48472.545,,109.361,5.29,24.4,27.3,,3.32,9.96,Europe,F,99.0,84.65,32.0,,20.0,,,,7.0,,24.0,13.0,,32.0,,13.0,,,11.0,,16.0,,13.0,17.0,,13.0
103,Norway,NOR,2020-02-27,2020-03-13,8197.0,22.0,232.0,0.0,1512.0,4.058,43.0,0.0,,,,,,5421242.0,14.462,39.7,16.820999999999998,10.812999999999999,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,7.84,Europe,F,100.0,79.63,26.0,17.0,,16.0,,18.0,,,,,,14.0,26.0,,13.0,,14.0,,,63.0,12.0,14.0,,
104,Nepal,NPL,2020-01-25,,276.0,18.0,0.0,0.0,9.0,0.618,0.0,0.0,,,,,,29136808.0,204.43,25.0,5.809,3.2119999999999997,2442.804,15.0,260.797,7.26,9.5,37.8,47.782,0.3,35.1,Asia,PF,56.0,95.24,59.0,,57.0,49.0,,59.0,,59.0,,,58.0,,,53.0,,,53.0,,59.0,,,54.0,,
105,New Zealand,NZL,2020-02-28,2020-03-29,1148.0,0.0,21.0,0.0,238.0,0.0,4.0,0.0,,,,,,4822233.0,18.206,37.9,15.322000000000001,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,10.69,Asia,F,97.0,97.35,27.0,21.0,-26.0,,,24.0,22.0,,24.0,22.0,27.0,24.0,24.0,22.0,17.0,,17.0,,26.0,24.0,22.0,25.0,,
106,Oman,OMN,2020-02-25,2020-04-01,4625.0,284.0,19.0,0.0,906.0,55.614,4.0,0.0,,,,,,5106622.0,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,43.42,MENA,NF,23.0,94.71,45.0,22.0,-22.0,,,22.0,,,45.0,,23.0,,21.0,,,,21.0,,,35.0,25.0,19.0,,
107,Pakistan,PAK,2020-02-27,2020-03-20,38799.0,1581.0,834.0,31.0,176.0,7.157,4.0,0.14,359264.0,14814.0,1.626,0.067,tests performed,220892331.0,255.57299999999998,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,45.52,Asia,PF,38.0,97.35,28.0,23.0,-27.0,,,26.0,,,25.0,,25.0,,15.0,,,,15.0,,25.0,,,0.0,,
108,Panama,PAN,2020-03-10,2020-03-11,9268.0,150.0,266.0,6.0,2148.0,34.764,62.0,1.391,,,,,,4314768.0,55.133,29.7,7.917999999999999,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,29.78,Americas,F,84.0,83.6,39.0,39.0,3.0,,-42.0,13.0,,,40.0,7.0,,,15.0,3.0,,,3.0,,10.0,,6.0,2.0,,
109,Peru,PER,2020-03-07,2020-03-20,84495.0,3891.0,2393.0,126.0,2563.0,118.01,73.0,3.821,630482.0,25099.0,19.122,0.7609999999999999,units unclear,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,30.94,Americas,F,72.0,100.0,55.0,9.0,,4.0,-1.0,8.0,7.0,11.0,8.0,,55.0,8.0,8.0,,5.0,,5.0,,9.0,,,5.0,,
110,Philippines,PHL,2020-01-30,2020-02-02,12091.0,215.0,806.0,16.0,110.0,1.962,7.0,0.146,,,,,,109581085.0,351.87300000000005,25.2,4.803,2.661,7599.188,,370.43699999999995,7.07,7.8,40.8,78.46300000000001,1.0,43.54,Asia,PF,59.0,97.22,48.0,,1.0,,,45.0,,48.0,45.0,,45.0,,48.0,45.0,,,45.0,8.0,48.0,45.0,,40.0,,
111,Papua New Guinea,PNG,2020-03-21,,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,8947027.0,18.22,22.6,3.8080000000000003,2.142,3823.1940000000004,,561.494,17.65,23.5,48.8,,,23.93,Asia,PF,62.0,83.07,28.0,0.0,-52.0,,-53.0,3.0,,,28.0,,3.0,,,,-1.0,,3.0,,3.0,,,2.0,,
112,Poland,POL,2020-03-04,2020-03-13,18016.0,401.0,907.0,24.0,476.0,10.595,24.0,0.634,,,,,,37846605.0,124.027,41.8,16.762999999999998,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,28.65,Europe,F,84.0,88.09,36.0,11.0,,,5.0,27.0,8.0,,27.0,,,36.0,27.0,,,,6.0,,,10.0,,8.0,,
113,Portugal,PRT,2020-03-03,2020-03-18,28583.0,264.0,1190.0,6.0,2803.0,25.891,117.0,0.588,,,,,,10196707.0,112.37100000000001,46.2,21.502,14.924000000000001,27936.896,0.5,127.84200000000001,9.85,16.3,30.0,,3.39,11.83,Europe,F,96.0,90.61,37.0,,7.0,,,37.0,16.0,,16.0,,,16.0,16.0,,,,16.0,,16.0,9.0,,13.0,6.0,
114,Paraguay,PRY,2020-03-08,2020-03-21,759.0,5.0,11.0,0.0,106.0,0.701,2.0,0.0,,,,,,7132530.0,17.144000000000002,26.5,6.377999999999999,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,79.602,1.3,32.97,Americas,PF,65.0,96.03,32.0,16.0,8.0,,,8.0,,32.0,9.0,2.0,13.0,,13.0,2.0,,,2.0,,5.0,,,2.0,,
115,Palestine,PSE,2020-03-06,2020-03-27,554.0,6.0,4.0,0.0,109.0,1.176,1.0,0.0,,,,,,5101416.0,778.202,20.4,3.043,1.726,4449.898,1.0,265.91,10.59,,,,,44.09,MENA,NF,25.0,97.35,53.0,-1.0,,,,-1.0,,,16.0,,16.0,-1.0,-1.0,,,,-1.0,,16.0,0.0,,0.0,,
116,Qatar,QAT,2020-03-01,2020-03-29,29425.0,1153.0,14.0,0.0,10213.0,400.2,5.0,0.0,152704.0,4531.0,53.003,1.5730000000000002,people tested,2881060.0,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,42.51,MENA,NF,25.0,91.54,27.0,17.0,-27.0,,-37.0,16.0,,,16.0,,14.0,,21.0,,,,21.0,11.0,,16.0,,9.0,,
117,Romania,ROU,2020-02-27,2020-03-23,16437.0,190.0,1056.0,10.0,854.0,9.876,55.0,0.52,,,,,,19237682.0,85.12899999999999,43.0,17.85,11.69,23313.199,5.7,370.94599999999997,9.74,22.9,37.1,,6.892,25.91,Europe,F,83.0,88.36,33.0,23.0,11.0,-26.0,-31.0,32.0,23.0,,27.0,14.0,33.0,0.0,24.0,,14.0,10.0,10.0,,,14.0,,13.0,,
118,Russia,RUS,2020-02-01,2020-03-27,262843.0,10598.0,2418.0,113.0,1801.0,72.622,17.0,0.774,6656340.0,242392.0,45.611999999999995,1.661,tests performed,145934460.0,8.823,39.6,14.177999999999999,9.392999999999999,24765.953999999998,0.1,431.29699999999997,6.18,23.4,58.3,,8.05,48.92,Eurasia,NF,20.0,92.86,58.0,58.0,-2.0,,,33.0,,58.0,,,,58.0,58.0,44.0,,38.0,38.0,,58.0,,,49.0,,44.0
119,Rwanda,RWA,2020-03-15,,287.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,48239.0,2041.0,3.7239999999999998,0.158,units unclear,12952209.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,,50.34,SSA,NF,22.0,100.0,6.0,6.0,,,-48.0,-7.0,,6.0,-7.0,,6.0,,-7.0,,,,-7.0,,6.0,,-1.0,1.0,,
120,Saudi Arabia,SAU,2020-03-03,2020-03-25,49176.0,2307.0,292.0,9.0,1413.0,66.267,8.0,0.259,548023.0,17758.0,15.742,0.51,units unclear,34813867.0,15.322000000000001,31.9,3.295,1.845,49045.41099999999,,259.538,17.72,1.8,25.4,,2.7,62.14,MENA,NF,7.0,94.18,54.0,12.0,,,,5.0,,34.0,20.0,,18.0,,54.0,13.0,,,10.0,,,13.0,,6.0,,
121,Sudan,SDN,2020-03-14,2020-03-15,1964.0,0.0,91.0,0.0,45.0,0.0,2.0,0.0,,,,,,43849269.0,23.258000000000003,19.7,3.548,2.0340000000000003,4466.5070000000005,,431.38800000000003,15.67,,,23.436999999999998,0.8,55.33,SSA,NF,12.0,86.38,55.0,2.0,,,,30.0,9.0,,35.0,9.0,12.0,,,0.0,,,0.0,,,55.0,0.0,0.0,,
122,Senegal,SEN,2020-03-03,2020-04-02,2310.0,121.0,25.0,2.0,138.0,7.226,1.0,0.11900000000000001,27618.0,989.0,1.649,0.059000000000000004,tests performed,16743930.0,82.32799999999999,18.7,3.008,1.796,2470.58,38.0,241.21900000000002,2.42,0.4,16.6,20.859,,23.99,SSA,PF,71.0,18.25,11.0,17.0,15.0,,,20.0,,,,,,,20.0,,11.0,,11.0,,,,,13.0,,
123,Singapore,SGP,2020-01-24,2020-03-22,26891.0,793.0,21.0,0.0,4596.0,135.548,4.0,0.0,,,,,,5850343.0,7915.731,42.4,12.922,7.0489999999999995,85535.383,,92.243,10.99,5.2,28.3,,2.4,55.23,Asia,PF,50.0,87.83,81.0,,-1.0,,-22.0,75.0,70.0,,75.0,70.0,,81.0,75.0,63.0,49.0,,49.0,14.0,74.0,,,75.0,,
124,Sierra Leone,SLE,2020-04-01,2020-04-24,447.0,39.0,27.0,1.0,56.0,4.888999999999999,3.0,0.125,,,,,,7976985.0,104.7,19.1,2.5380000000000003,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,30.28,SSA,PF,65.0,96.03,32.0,-4.0,-11.0,,,4.0,,4.0,,7.0,,-9.0,32.0,-16.0,,,-10.0,,4.0,,,-1.0,,
125,El Salvador,SLV,2020-03-19,2020-04-01,1265.0,55.0,25.0,2.0,195.0,8.48,4.0,0.308,53412.0,2270.0,8.235,0.35,tests performed,6486201.0,307.811,27.6,8.273,5.417000000000001,7292.4580000000005,2.2,167.295,8.87,2.5,18.8,90.65,1.3,29.7,Americas,PF,66.0,100.0,49.0,-7.0,-48.0,,,-1.0,,2.0,,,49.0,-1.0,33.0,,-8.0,,2.0,-8.0,2.0,-3.0,,-8.0,,
126,Somalia,SOM,2020-03-17,2020-04-10,1284.0,0.0,53.0,0.0,81.0,0.0,3.0,0.0,,,,,,15893219.0,23.5,16.8,2.7310000000000003,1.496,,,365.769,6.05,,,9.831,0.9,55.45,SSA,NF,7.0,59.39,25.0,1.0,-3.0,,,,,,,25.0,,,,2.0,,,2.0,,,,,4.0,,
127,Serbia,SRB,2020-03-07,2020-03-21,10438.0,64.0,225.0,1.0,1534.0,9.405,33.0,0.147,174746.0,6076.0,25.680999999999997,0.893,people tested,6804596.0,80.291,41.2,17.366,,14048.881000000001,,439.415,10.08,37.7,40.2,97.719,5.609,31.62,Europe,PF,66.0,100.0,14.0,9.0,4.0,,-45.0,11.0,,11.0,8.0,,14.0,,8.0,,4.0,,8.0,,14.0,,9.0,9.0,,
128,South Sudan,SSD,2020-04-06,2020-05-15,236.0,5.0,4.0,3.0,21.0,0.447,0.0,0.268,,,,,,11193729.0,,19.2,3.4410000000000003,2.032,1569.888,,280.775,10.43,,,,,44.49,SSA,NF,2.0,93.38,31.0,-13.0,-24.0,-42.0,,6.0,,,12.0,-13.0,,-12.0,-21.0,,,,-21.0,,-9.0,,-12.0,-17.0,,
129,Suriname,SUR,2020-03-15,2020-04-04,10.0,0.0,1.0,0.0,17.0,0.0,2.0,0.0,,,,,,586634.0,3.612,29.6,6.933,4.229,13767.118999999999,,258.314,12.54,7.4,42.9,67.779,3.1,17.5,Americas,F,75.0,83.07,22.0,-1.0,,,,1.0,,,13.0,,22.0,,13.0,,,,-2.0,,,,,1.0,,
130,Slovak Republic,SVK,2020-03-07,2020-04-07,1480.0,3.0,27.0,0.0,271.0,0.5489999999999999,5.0,0.0,139986.0,4084.0,25.64,0.748,tests performed,5459643.0,113.12799999999999,41.2,15.07,9.167,30155.152000000002,0.7,287.959,7.29,23.1,37.7,,5.82,22.67,Europe,F,88.0,90.74,32.0,6.0,,2.0,,32.0,9.0,,32.0,5.0,6.0,,32.0,5.0,,,3.0,-1.0,,5.0,,9.0,2.0,
131,Slovenia,SVN,2020-03-05,2020-03-18,1465.0,1.0,103.0,0.0,705.0,0.48100000000000004,50.0,0.0,,,,,,2078932.0,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25.0,,4.5,22.64,Europe,F,94.0,91.93,25.0,,5.0,,,25.0,,,,9.0,11.0,,14.0,,2.0,,14.0,,15.0,,,11.0,,
132,Sweden,SWE,2020-02-01,2020-03-12,29207.0,625.0,3646.0,117.0,2892.0,61.886,361.0,11.585,,,,,,10099270.0,24.718000000000004,41.0,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,9.25,Europe,F,100.0,47.35,83.0,,47.0,,,,63.0,,,,,,,83.0,40.0,,,,,,58.0,,,46.0
133,Eswatini,SWZ,2020-03-15,2020-04-18,190.0,3.0,2.0,0.0,164.0,2.5860000000000003,2.0,0.0,,,,,,1160164.0,79.492,21.5,3.1630000000000003,1.845,7738.975,,333.436,3.94,1.7,16.5,24.096999999999998,2.1,45.15,SSA,NF,19.0,81.48,12.0,,12.0,,,12.0,2.0,,12.0,,12.0,,,2.0,,,2.0,-1.0,,,,2.0,,
134,Seychelles,SYC,2020-03-15,,11.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,,,,,,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,,3.6,28.66,SSA,PF,72.0,94.58,25.0,50.0,-5.0,-37.0,,24.0,,,24.0,,25.0,,15.0,,,,7.0,0.0,24.0,,,1.0,,
135,Syria,SYR,2020-03-23,2020-03-30,50.0,2.0,3.0,0.0,3.0,0.114,0.0,0.0,,,,,,17500657.0,,21.7,,2.577,,,376.264,,,,70.598,1.5,72.57,MENA,NF,0.0,84.13,9.0,,-15.0,,-51.0,2.0,-3.0,,25.0,,0.0,,,-7.0,,,-1.0,-8.0,-1.0,,-3.0,-9.0,,
136,Chad,TCD,2020-03-20,2020-04-29,428.0,29.0,48.0,2.0,26.0,1.766,3.0,0.122,,,,,,16425859.0,11.833,16.7,2.4859999999999998,1.446,1768.1529999999998,38.4,280.995,6.1,,,5.818,,39.7,SSA,NF,17.0,89.03,42.0,24.0,,-13.0,,24.0,,,13.0,,24.0,,,-1.0,,24.0,24.0,,24.0,,,24.0,,
137,Thailand,THA,2020-01-13,2020-03-01,3025.0,7.0,56.0,0.0,43.0,0.1,1.0,0.0,,,,,,69799978.0,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,44.94,Asia,PF,32.0,83.73,111.0,72.0,,53.0,,73.0,72.0,,,68.0,86.0,81.0,104.0,63.0,,,57.0,,81.0,64.0,,66.0,,62.0
138,Turkmenistan,TKM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.44,Eurasia,NF,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
139,Trinidad and Tobago,TTO,2020-03-13,2020-03-26,116.0,0.0,8.0,0.0,83.0,0.0,6.0,0.0,,,,,,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3.0,23.22,Americas,F,82.0,93.38,46.0,10.0,,-43.0,,46.0,,,17.0,,,16.0,18.0,3.0,,,8.0,3.0,17.0,4.0,0.0,1.0,,
140,Tunisia,TUN,2020-03-03,2020-03-21,1035.0,3.0,45.0,0.0,88.0,0.254,4.0,0.0,,,,,,11818618.0,74.22800000000001,32.7,8.001,5.075,10849.296999999999,2.0,318.991,8.52,1.1,65.8,78.687,2.3,29.45,MENA,F,70.0,90.61,18.0,,13.0,6.0,1.0,15.0,,,17.0,,,17.0,17.0,,,,13.0,1.0,18.0,,13.0,13.0,10.0,6.0
141,Turkey,TUR,2020-03-12,2020-03-19,146457.0,1708.0,4055.0,48.0,1737.0,20.252,48.0,0.569,1589625.0,42236.0,18.848,0.501,tests performed,84339067.0,104.914,31.6,8.152999999999999,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,50.02,Europe,NF,32.0,80.42,16.0,15.0,-36.0,,-48.0,16.0,6.0,30.0,9.0,-3.0,16.0,12.0,,,,,4.0,,,4.0,,4.0,,
142,Tanzania,TZA,2020-03-17,2020-03-29,509.0,0.0,21.0,0.0,9.0,0.0,0.0,0.0,,,,,,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,217.28799999999998,5.75,3.3,26.7,47.953,0.7,40.25,SSA,PF,40.0,50.4,26.0,26.0,-2.0,,-3.0,,,,,,,,,0.0,,,0.0,,,,,1.0,,
143,Uganda,UGA,2020-03-22,,203.0,43.0,0.0,0.0,4.0,0.94,0.0,0.0,,,,,,45741000.0,213.75900000000001,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.221999999999998,0.5,40.95,SSA,NF,34.0,92.59,8.0,,0.0,-45.0,-62.0,8.0,-4.0,,8.0,,3.0,,,8.0,,,-4.0,,3.0,,,-2.0,,
144,Ukraine,UKR,2020-03-04,2020-03-19,17330.0,483.0,483.0,27.0,396.0,11.044,11.0,0.617,220638.0,9024.0,5.045,0.20600000000000002,units unclear,43733759.0,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,32.52,Eurasia,PF,62.0,92.06,14.0,12.0,,,,8.0,,,,12.0,14.0,,13.0,,8.0,,8.0,,,13.0,,8.0,,
145,Uruguay,URY,2020-03-15,2020-03-30,732.0,8.0,19.0,0.0,211.0,2.303,5.0,0.0,32225.0,1016.0,9.277000000000001,0.292,tests performed,3473727.0,19.750999999999998,35.6,14.655,10.360999999999999,20551.409,0.1,160.708,6.93,14.0,19.9,,2.8,15.79,Americas,F,98.0,76.98,18.0,9.0,1.0,-2.0,,17.0,-2.0,,18.0,-2.0,,12.0,,,,,-2.0,,,,0.0,-1.0,,
146,United States,USA,2020-01-21,2020-03-01,1443397.0,25508.0,87568.0,1662.0,4361.0,77.063,265.0,5.021,10720185.0,,32.387,0.0,inconsistent units (COVID Tracking Project),331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77,23.85,Americas,F,86.0,71.58,78.0,,41.0,12.0,,58.0,53.0,,54.0,,,56.0,60.0,,51.0,50.0,51.0,40.0,58.0,,,44.0,,
147,Uzbekistan,UZB,2020-03-16,2020-03-29,2691.0,46.0,11.0,0.0,80.0,1.374,0.0,0.0,,,,,,33469199.0,76.134,28.2,4.468999999999999,2.873,6253.104,,724.4169999999999,7.57,1.3,24.7,,4.0,53.07,Eurasia,NF,10.0,97.35,46.0,0.0,,-15.0,,8.0,,,11.0,,0.0,,43.0,7.0,,,0.0,,5.0,0.0,,0.0,,
148,Venezuela,VEN,2020-03-15,2020-03-27,459.0,4.0,10.0,0.0,16.0,0.141,0.0,0.0,,,,,,28435943.0,36.253,29.0,6.614,3.915,16745.022,,204.85,6.47,,,,0.8,45.66,Americas,NF,16.0,84.26,3.0,3.0,-3.0,,,-2.0,,,-2.0,,,,59.0,2.0,,-3.0,-3.0,,1.0,,,1.0,,
149,Vietnam,VNM,2020-01-24,,313.0,1.0,0.0,0.0,3.0,0.01,0.0,0.0,,,,,,97338583.0,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,85.84700000000001,2.6,74.71,Asia,NF,20.0,97.35,68.0,58.0,8.0,6.0,1.0,20.0,,,68.0,,64.0,,68.0,,62.0,,15.0,,63.0,61.0,,5.0,,
150,Yemen,YEM,2020-04-10,2020-05-01,106.0,19.0,15.0,2.0,4.0,0.637,1.0,0.067,,,,,,29825968.0,53.508,20.3,2.9219999999999997,1.5830000000000002,1479.1470000000002,18.8,495.00300000000004,5.35,7.6,29.2,49.542,0.7,58.25,MENA,NF,11.0,54.23,25.0,-22.0,,,,20.0,,,21.0,,,,,,,,-24.0,,,,,-22.0,,
151,South Africa,ZAF,2020-03-06,2020-03-27,13524.0,785.0,247.0,9.0,228.0,13.235999999999999,4.0,0.152,,,,,,59308690.0,46.754,27.3,5.343999999999999,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,22.41,SSA,F,79.0,91.4,20.0,20.0,12.0,,-43.0,20.0,9.0,,20.0,,,20.0,,10.0,,,10.0,,20.0,,,12.0,,
152,Zambia,ZMB,2020-03-19,2020-04-03,668.0,14.0,7.0,0.0,36.0,0.762,0.0,0.0,,,,,,18383956.0,22.995,17.7,2.48,1.5419999999999998,3689.2509999999997,57.5,234.49900000000002,3.94,3.1,24.7,13.937999999999999,2.0,37.0,SSA,PF,54.0,68.0,44.0,8.0,,-27.0,,26.0,10.0,,27.0,21.0,,,27.0,7.0,,,27.0,,44.0,,,1.0,,
153,Zimbabwe,ZWE,2020-03-21,2020-03-24,42.0,5.0,4.0,0.0,3.0,0.336,0.0,0.0,,,,,,14862927.0,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,40.95,SSA,PF,29.0,91.4,9.0,2.0,,,-53.0,9.0,2.0,,9.0,2.0,,9.0,,-4.0,,,-4.0,,9.0,,,3.0,,
154,Taiwan,TWN,2020-01-21,2020-02-17,440.0,0.0,7.0,0.0,18.0,0.0,0.0,0.0,,,,,,23816775.0,,42.2,,8.353,,,103.95700000000001,,,,,,23.76,Asia,F,93.0,32.01,58.0,58.0,2.0,,,,,,,,,,,,,,,44.0,,,,12.0,,54.0
